cycle,hour,int(cycle / 24),r_l,FC,n_L,shadow_loss,prevState'N_L',currentState'N_L',prev_value,value,pl_total,chg,length(leaf_proportion),sum(leaf_proportion),leaf_proportion
7147,19,297,0.0063,1.015,10.0,0.09642499999999998,2.2728175501346057,2.275790758056546,0.14533531824335733,0.1455254400239258,0.00278589582285835,-0.00297601760342684,1,1.5024799999999998,[1.5024799999999998]
7148,20,297,0.0063,1.015,10.0,0.09642499999999998,2.2728175501346057,2.275790758056546,0.14533531824335733,0.1455254400239258,0.00278589582285835,-0.00297601760342684,1,1.5664249999999997,[1.5664249999999997]
7149,21,297,0.0063,1.0,10.0,0.09642499999999998,2.2728175501346057,2.275790758056546,0.14318750565848015,0.14337481775756242,0.00278589582285835,-0.00297320792194062,1,1.6294249999999997,[1.6294249999999997]
7150,22,297,0.0063,1.0,10.0,0.09642499999999998,2.2728175501346057,2.275790758056546,0.14318750565848015,0.14337481775756242,0.00278589582285835,-0.00297320792194062,1,1.6924249999999996,[1.6924249999999996]
7151,23,297,0.0063,1.0,10.0,0.09642499999999998,2.2728175501346057,2.275790758056546,0.14318750565848015,0.14337481775756242,0.00278589582285835,-0.00297320792194062,1,1.7554249999999996,[1.7554249999999996]
7152,0,298,0.0063,1.0,10.0,0.09642499999999998,2.275790758056546,2.2787639659784866,0.14337481775756242,0.14356212985664465,0.00278589582285835,-0.00297320792194059,1,0.063,[0.063]
7153,1,298,0.0063,1.0,10.0,0.09642499999999998,2.275790758056546,2.2787639659784866,0.14337481775756242,0.14356212985664465,0.00278589582285835,-0.00297320792194059,1,0.126,[0.126]
7154,2,298,0.0063,1.0,10.0,0.09642499999999998,2.275790758056546,2.2787639659784866,0.14337481775756242,0.14356212985664465,0.00278589582285835,-0.00297320792194059,1,0.189,[0.189]
7155,3,298,0.0063,1.0,10.0,0.09642499999999998,2.275790758056546,2.2787639659784866,0.14337481775756242,0.14356212985664465,0.00278589582285835,-0.00297320792194059,1,0.252,[0.252]
7156,4,298,0.0063,1.015,10.0,0.09642499999999998,2.275790758056546,2.2787639659784866,0.1455254400239258,0.1457155618044943,0.00278589582285835,-0.00297601760342684,1,0.315945,[0.315945]
7157,5,298,0.0063,1.015,10.0,0.09642499999999998,2.275790758056546,2.2787639659784866,0.1455254400239258,0.1457155618044943,0.00278589582285835,-0.00297601760342684,1,0.37988999999999995,[0.37988999999999995]
7158,6,298,0.0063,1.015,10.0,0.09642499999999998,2.275790758056546,2.2787639659784866,0.1455254400239258,0.1457155618044943,0.00278589582285835,-0.00297601760342684,1,0.4438349999999999,[0.4438349999999999]
7159,7,298,0.0063,1.015,10.0,0.09642499999999998,2.275790758056546,2.2787639659784866,0.1455254400239258,0.1457155618044943,0.00278589582285835,-0.00297601760342684,1,0.5077799999999999,[0.5077799999999999]
7160,8,298,0.0063,1.015,10.0,0.09642499999999998,2.275790758056546,2.2787639659784866,0.1455254400239258,0.1457155618044943,0.00278589582285835,-0.00297601760342684,1,0.5717249999999999,[0.5717249999999999]
7161,9,298,0.0063,1.015,10.0,0.09642499999999998,2.275790758056546,2.2787639659784866,0.1455254400239258,0.1457155618044943,0.00278589582285835,-0.00297601760342684,1,0.63567,[0.63567]
7162,10,298,0.0063,1.015,10.0,0.09642499999999998,2.275790758056546,2.2787639659784866,0.1455254400239258,0.1457155618044943,0.00278589582285835,-0.00297601760342684,1,0.699615,[0.699615]
7163,11,298,0.0063,1.015,10.0,0.09642499999999998,2.275790758056546,2.2787639659784866,0.1455254400239258,0.1457155618044943,0.00278589582285835,-0.00297601760342684,1,0.76356,[0.76356]
7164,12,298,0.0095,1.015,10.0,0.09642499999999998,2.275790758056546,2.2787639659784866,0.21944312384560244,0.21972981541947553,0.00278589582285835,-0.00307258739673145,1,0.859985,[0.859985]
7165,13,298,0.0095,1.015,10.0,0.09642499999999998,2.275790758056546,2.2787639659784866,0.21944312384560244,0.21972981541947553,0.00278589582285835,-0.00307258739673145,1,0.95641,[0.95641]
7166,14,298,0.0095,1.015,10.0,0.09642499999999998,2.275790758056546,2.2787639659784866,0.21944312384560244,0.21972981541947553,0.00278589582285835,-0.00307258739673145,1,1.052835,[1.052835]
7167,15,298,0.0095,1.015,10.0,0.09642499999999998,2.275790758056546,2.2787639659784866,0.21944312384560244,0.21972981541947553,0.00278589582285835,-0.00307258739673145,1,1.14926,[1.14926]
7168,16,298,0.0095,1.015,10.0,0.09642499999999998,2.275790758056546,2.2787639659784866,0.21944312384560244,0.21972981541947553,0.00278589582285835,-0.00307258739673145,1,1.245685,[1.245685]
7169,17,298,0.0095,1.015,10.0,0.09642499999999998,2.275790758056546,2.2787639659784866,0.21944312384560244,0.21972981541947553,0.00278589582285835,-0.00307258739673145,1,1.34211,[1.34211]
7170,18,298,0.0095,1.015,10.0,0.09642499999999998,2.275790758056546,2.2787639659784866,0.21944312384560244,0.21972981541947553,0.00278589582285835,-0.00307258739673145,1,1.438535,[1.438535]
7171,19,298,0.0063,1.015,10.0,0.09642499999999998,2.275790758056546,2.2787639659784866,0.1455254400239258,0.1457155618044943,0.00278589582285835,-0.00297601760342684,1,1.5024799999999998,[1.5024799999999998]
7172,20,298,0.0063,1.015,10.0,0.09642499999999998,2.275790758056546,2.2787639659784866,0.1455254400239258,0.1457155618044943,0.00278589582285835,-0.00297601760342684,1,1.5664249999999997,[1.5664249999999997]
7173,21,298,0.0063,1.0,10.0,0.09642499999999998,2.275790758056546,2.2787639659784866,0.14337481775756242,0.14356212985664465,0.00278589582285835,-0.00297320792194059,1,1.6294249999999997,[1.6294249999999997]
7174,22,298,0.0063,1.0,10.0,0.09642499999999998,2.275790758056546,2.2787639659784866,0.14337481775756242,0.14356212985664465,0.00278589582285835,-0.00297320792194059,1,1.6924249999999996,[1.6924249999999996]
