cycle,hour,SUPPLY,DEMAND,RC,xroot,dALp,FC,r_l,r_f,f_n_t,genr,sla,sum_nodes,L_dem,S_dem,F_dem,g_f,g_s,g_l,d_Int'N_f',d_Int'N_s',d_Int'N_L',d_Int'W_f',d_Int'W_s',d_Int'W_L',d_Int'A_L',length(leaf_proportion),leaf_proportion
4624,16,-0.00261798989025817,0.21359385771930367,0.0,1.0,0.00076732732428144,1.015,0.0095,0.0203,0.55,0.279125,0.01967656643915637,0.00076732732428144,0.05810554990448629,0.05438078480693083,0.10110752300788657,0.0,0.0,0.0,-0.0379751259445845,-0.04819107072028483,-0.0030725873967315,0.0,0.0,0.0,0.0,1,[1.245685]
4625,17,-0.00261798989025817,0.21359385771930367,0.0,1.0,0.00076732732428144,1.015,0.0095,0.0203,0.55,0.279125,0.01967656643915637,0.00076732732428144,0.05810554990448629,0.05438078480693083,0.10110752300788657,0.0,0.0,0.0,-0.0379751259445845,-0.04819107072028483,-0.0030725873967315,0.0,0.0,0.0,0.0,1,[1.34211]
4626,18,-0.00261798989025817,0.21359385771930367,0.0,1.0,0.00076732732428144,1.015,0.0095,0.0203,0.55,0.279125,0.01967656643915637,0.00076732732428144,0.05810554990448629,0.05438078480693083,0.10110752300788657,0.0,0.0,0.0,-0.0379751259445845,-0.04819107072028483,-0.0030725873967315,0.0,0.0,0.0,0.0,1,[1.438535]
4627,19,-0.0023983366626444,0.22993802601070618,0.0,1.0,0.00076732732428144,1.015,0.0063,0.0103,0.55,0.279125,0.01718028562224847,0.00076732732428144,0.06654823664274498,0.06228226636007463,0.10110752300788657,0.0,0.0,0.0,-0.03158343828715369,-0.0319582890039784,-0.00297601760342687,0.0,0.0,0.0,0.0,1,[1.5024799999999998]
4628,20,-0.0023983366626444,0.22993802601070618,0.0,1.0,0.00076732732428144,1.015,0.0063,0.0103,0.55,0.279125,0.01718028562224847,0.00076732732428144,0.06654823664274498,0.06228226636007463,0.10110752300788657,0.0,0.0,0.0,-0.03158343828715369,-0.0319582890039784,-0.00297601760342687,0.0,0.0,0.0,0.0,1,[1.5664249999999997]
4629,21,-0.00315546677238622,0.13857400734462585,0.0,1.0,0.00075598751160733,1.0,0.0063,0.0103,0.55,0.275,0.05597014925373134,0.00075598751160733,0.02012539554233585,0.01883528864181062,0.09961332316047938,0.0,0.0,0.0,-0.03148614609571796,-0.03148599901869786,-0.00297320792194062,0.0,0.0,0.0,0.0,1,[1.6294249999999997]
4630,22,-0.00315546677238622,0.13857400734462585,0.0,1.0,0.00075598751160733,1.0,0.0063,0.0103,0.55,0.275,0.05597014925373134,0.00075598751160733,0.02012539554233585,0.01883528864181062,0.09961332316047938,0.0,0.0,0.0,-0.03148614609571796,-0.03148599901869786,-0.00297320792194062,0.0,0.0,0.0,0.0,1,[1.6924249999999996]
4631,23,-0.00315546677238622,0.13857400734462585,0.0,1.0,0.00075598751160733,1.0,0.0063,0.0103,0.55,0.275,0.05597014925373134,0.00075598751160733,0.02012539554233585,0.01883528864181062,0.09961332316047938,0.0,0.0,0.0,-0.03148614609571796,-0.03148599901869786,-0.00297320792194062,0.0,0.0,0.0,0.0,1,[1.7554249999999996]
4632,0,-0.00295010860402994,0.14419064469863385,0.0,1.0,0.00075713219665727,1.0,0.0063,0.0103,0.55,0.275,0.04966887417218543,0.00075713219665727,0.02271295639012267,0.02134484373745246,0.10013284457105871,0.0,0.0,0.0,-0.03148614609571774,-0.03148600895596176,-0.00297320792194062,0.0,0.0,0.0,0.0,1,[0.063]
4633,1,-0.00295010860402994,0.14419064469863385,0.0,1.0,0.00075713219665727,1.0,0.0063,0.0103,0.55,0.275,0.04966887417218543,0.00075713219665727,0.02271295639012267,0.02134484373745246,0.10013284457105871,0.0,0.0,0.0,-0.03148614609571774,-0.03148600895596176,-0.00297320792194062,0.0,0.0,0.0,0.0,1,[0.126]
