cycle,day,currentState'N_f',currentState'N_s',currentState'N_L',currentState'W_f',currentState'W_s',currentState'W_L',currentState'A_L',prevState'N_f',prevState'N_s',prevState'N_L',prevState'W_f',prevState'W_s',prevState'W_L',prevState'A_L',d_Int'N_f',d_Int'N_s',d_Int'N_L',d_Int'W_f',d_Int'W_s',d_Int'W_L',d_Int'A_L',LAI
216,9,0.24372024551436902,0.6625303056784602,3.7715915285760078,0.0,1.5,0.05,0.5,0.21223420152606323,0.7416141092319037,3.748708234835227,0.0,1.5,0.05,0.5,-0.03148612506159099,0.06273462682840937,-0.02288329501133838,0.0,0.0,0.0,0.0,0.02753261815860486
240,10,0.27520637057596004,0.5997956788500508,3.794474823587346,0.0,1.5,0.05,0.5,0.24372024551436902,0.6625303056784602,3.7715915285760078,0.0,1.5,0.05,0.5,-0.03148614176268775,0.04880281582291502,-0.0228832951714286,0.0,0.0,0.0,0.0,0.02769966621218763
264,11,0.3066925123386478,0.5509928630271358,3.8173581187587744,0.0,1.5,0.05,0.5,0.27520637057596004,0.5997956788500508,3.794474823587346,0.0,1.5,0.05,0.5,-0.03148614520311369,0.03693099898043677,-0.02288329519159997,0.0,0.0,0.0,0.0,0.02786671426693905
288,12,0.33817865754176146,0.5140618640466991,3.840241413950374,0.0,1.5,0.05,0.5,0.3066925123386478,0.5509928630271358,3.8173581187587744,0.0,1.5,0.05,0.5,-0.03148614591184141,0.02681458989115717,-0.0228832951941416,0.0,0.0,0.0,0.0,0.02803376232183773
312,13,0.36966480345360286,0.4872472741555419,3.863124709144516,0.0,1.5,0.05,0.5,0.33817865754176146,0.5140618640466991,3.840241413950374,0.0,1.5,0.05,0.5,-0.03148614605783933,0.01819402963473013,-0.02288329519446184,0.0,0.0,0.0,0.0,0.02820081037675497
336,14,0.4011509495114422,0.46905324452081176,3.886008004338978,0.0,1.5,0.05,0.5,0.36966480345360286,0.4872472741555419,3.863124709144516,0.0,1.5,0.05,0.5,-0.03148614608791491,0.01084813690515656,-0.0228832951945022,0.0,0.0,0.0,0.0,0.02836785843167454
360,15,0.4326370955993571,0.4582051076156552,3.9088912995334804,0.0,1.5,0.05,0.5,0.4011509495114422,0.46905324452081176,3.886008004338978,0.0,1.5,0.05,0.5,-0.03148614609411047,0.00458843476410329,-0.02288329519450731,0.0,0.0,0.0,0.0,0.02853490648659441
384,16,0.4641232416934676,0.4536166728515519,3.9317745947279876,0.0,1.5,0.05,0.5,0.4326370955993571,0.4582051076156552,3.9088912995334804,0.0,1.5,0.05,0.5,-0.03148614609538677,-0.00074568489380436,-0.02288329519450792,0.0,0.0,0.0,0.0,0.02870195454151431
408,17,0.4956093877888543,0.45436235774535627,3.9546578899224953,0.0,1.5,0.05,0.5,0.4641232416934676,0.4536166728515519,3.9317745947279876,0.0,1.5,0.05,0.5,-0.03148614609564967,-0.00529108208210011,-0.02288329519450797,0.0,0.0,0.0,0.0,0.02886900259643422
432,18,0.527095533884504,0.4596534398274564,3.9775411851170035,0.0,1.5,0.05,0.5,0.4956093877888543,0.45436235774535627,3.9546578899224953,0.0,1.5,0.05,0.5,-0.03148614609570385,-0.00916438019353263,-0.02288329519450803,0.0,0.0,0.0,0.0,0.02903605065135412
456,19,0.5585816799802079,0.468817820020989,4.000424480311511,0.0,1.5,0.05,0.5,0.527095533884504,0.4596534398274564,3.9775411851170035,0.0,1.5,0.05,0.5,-0.03148614609571499,-0.0124649582592467,-0.02288329519450792,0.0,0.0,0.0,0.0,0.02920309870627403
480,20,0.5900678260759229,0.4812827782802357,4.023307775506019,0.0,1.5,0.05,0.5,0.5585816799802079,0.468817820020989,4.000424480311511,0.0,1.5,0.05,0.5,-0.03148614609571729,-0.01527750076292168,-0.02288329519450803,0.0,0.0,0.0,0.0,0.02937014676119394
504,21,0.6215539721716402,0.49656027904315736,4.0461910707005275,0.0,1.5,0.05,0.5,0.5900678260759229,0.4812827782802357,4.023307775506019,0.0,1.5,0.05,0.5,-0.03148614609571777,-0.01767417043031697,-0.02288329519450803,0.0,0.0,0.0,0.0,0.02953719481611385
528,22,0.653040118267358,0.5142344494734743,4.069074365895036,0.0,1.5,0.05,0.5,0.6215539721716402,0.49656027904315736,4.0461910707005275,0.0,1.5,0.05,0.5,-0.03148614609571785,-0.01971645974224928,-0.02288329519450803,0.0,0.0,0.0,0.0,0.02970424287103376
552,23,0.6845262643630758,0.5339509092157235,4.091957661089544,0.0,1.5,0.05,0.5,0.653040118267358,0.5142344494734743,4.069074365895036,0.0,1.5,0.05,0.5,-0.03148614609571791,-0.0214567686760898,-0.02288329519450803,0.0,0.0,0.0,0.0,0.02987129092595367
576,24,0.7160124104587937,0.5554076778918133,4.114840956284052,0.0,1.5,0.05,0.5,0.6845262643630758,0.5339509092157235,4.091957661089544,0.0,1.5,0.05,0.5,-0.03148614609571788,-0.02293974915662685,-0.02288329519450803,0.0,0.0,0.0,0.0,0.03003833898087358
600,25,0.7474985565545116,0.5783474270484402,4.13772425147856,0.0,1.5,0.05,0.5,0.7160124104587937,0.5554076778918133,4.114840956284052,0.0,1.5,0.05,0.5,-0.03148614609571788,-0.02420345071149997,-0.02288329519450803,0.0,0.0,0.0,0.0,0.03020538703579349
624,26,0.7789847026502295,0.6025508777599402,4.160607546673068,0.0,1.5,0.05,0.5,0.7474985565545116,0.5783474270484402,4.13772425147856,0.0,1.5,0.05,0.5,-0.03148614609571788,-0.02528029672582544,-0.02288329519450803,0.0,0.0,0.0,0.0,0.0303724350907134
