cycle,hour,SUPPLY,DEMAND,RC,xroot,dALp,FC,r_l,r_f,f_n_t,genr,sla,sum_nodes,L_dem,S_dem,F_dem,g_f,g_s,g_l,d_Int'N_f',d_Int'N_s',d_Int'N_L',d_Int'W_f',d_Int'W_s',d_Int'W_L',d_Int'A_L'
321,9,0.1618760741645778,0.6845274907475394,0.23647855835242024,1.0,0.00190997327011583,1.015,0.0063,0.0103,0.55,0.279125,0.01718028562224847,0.0076398930804633,0.6625873946559285,0.01522182056466797,0.00671827552694288,0.0015887281112258,0.0035996341826319,0.1566877118707201,-0.03158343827923362,-0.00831874431911941,-0.0229265446224197,0.00135655270054749,-0.00890231311024214,0.152370991850808,0.00045166772540865
322,10,0.1618760741645778,0.6845274907475394,0.23647855835242024,1.0,0.00190997327011583,1.015,0.0063,0.0103,0.55,0.279125,0.01718028562224847,0.0076398930804633,0.6625873946559285,0.01522182056466797,0.00671827552694288,0.0015887281112258,0.0035996341826319,0.1566877118707201,-0.03158343827923362,-0.00831874431911941,-0.0229265446224197,0.00135655270054749,-0.00890231311024214,0.152370991850808,0.00045166772540865
323,11,0.1618760741645778,0.6845274907475394,0.23647855835242024,1.0,0.00190997327011583,1.015,0.0063,0.0103,0.55,0.279125,0.01718028562224847,0.0076398930804633,0.6625873946559285,0.01522182056466797,0.00671827552694288,0.0015887281112258,0.0035996341826319,0.1566877118707201,-0.03158343827923362,-0.00831874431911941,-0.0229265446224197,0.00135655270054749,-0.00890231311024214,0.152370991850808,0.00045166772540865
324,12,0.15965643591021073,0.598536769413583,0.23647855835242024,1.0,0.00190997327011583,1.015,0.0095,0.0203,0.55,0.279125,0.01967656643915637,0.0076398930804633,0.5785277998115196,0.01329069407512053,0.00671827552694288,0.0015887281112258,0.00314296417438756,0.13680942006622573,-0.03797512592897501,-0.01254413825898959,-0.024413043478252,0.00113113968047146,-0.00935898311848637,0.13030008035365984,0.00045166772540865
325,13,0.15965643591021073,0.598536769413583,0.26674457455075695,1.0,0.00190997327011583,1.015,0.0095,0.0203,0.55,0.279125,0.01967656643915637,0.0076398930804633,0.5785277998115196,0.01329069407512053,0.00671827552694288,0.00179206354714914,0.00354522053655229,0.15431915182650927,-0.03797512592897501,-0.01254413825898959,-0.024413043478252,0.00133447511639481,-0.00895672675632175,0.14780981211394337,0.00050947500734036
326,14,0.15965643591021073,0.598536769413583,0.26674457455075695,1.0,0.00190997327011583,1.015,0.0095,0.0203,0.55,0.279125,0.01967656643915637,0.0076398930804633,0.5785277998115196,0.01329069407512053,0.00671827552694288,0.00179206354714914,0.00354522053655229,0.15431915182650927,-0.03797512592897501,-0.01254413825898959,-0.024413043478252,0.00133447511639481,-0.00895672675632175,0.14780981211394337,0.00050947500734036
327,15,0.15965643591021073,0.598536769413583,0.26674457455075695,1.0,0.00190997327011583,1.015,0.0095,0.0203,0.55,0.279125,0.01967656643915637,0.0076398930804633,0.5785277998115196,0.01329069407512053,0.00671827552694288,0.00179206354714914,0.00354522053655229,0.15431915182650927,-0.03797512592897501,-0.01254413825898959,-0.024413043478252,0.00133447511639481,-0.00895672675632175,0.14780981211394337,0.00050947500734036
328,16,0.15965643591021073,0.598536769413583,0.26674457455075695,1.0,0.00190997327011583,1.015,0.0095,0.0203,0.55,0.279125,0.01967656643915637,0.0076398930804633,0.5785277998115196,0.01329069407512053,0.00671827552694288,0.00179206354714914,0.00354522053655229,0.15431915182650927,-0.03797512592897501,-0.01254413825898959,-0.024413043478252,0.00133447511639481,-0.00895672675632175,0.14780981211394337,0.00050947500734036
329,17,0.15965643591021073,0.598536769413583,0.26674457455075695,1.0,0.00190997327011583,1.015,0.0095,0.0203,0.55,0.279125,0.01967656643915637,0.0076398930804633,0.5785277998115196,0.01329069407512053,0.00671827552694288,0.00179206354714914,0.00354522053655229,0.15431915182650927,-0.03797512592897501,-0.01254413825898959,-0.024413043478252,0.00133447511639481,-0.00895672675632175,0.14780981211394337,0.00050947500734036
330,18,0.15965643591021073,0.598536769413583,0.26674457455075695,1.0,0.00190997327011583,1.015,0.0095,0.0203,0.55,0.279125,0.01967656643915637,0.0076398930804633,0.5785277998115196,0.01329069407512053,0.00671827552694288,0.00179206354714914,0.00354522053655229,0.15431915182650927,-0.03797512592897501,-0.01254413825898959,-0.024413043478252,0.00133447511639481,-0.00895672675632175,0.14780981211394337,0.00050947500734036
