cycle,TIME,PLSTN,XLAI,XSLA,TOTNST,TOTWST,TOTNLV,TOTWML,FWFR10,APFFW,TOTNF,TOTWMF,ATL,ATT,ATV
984,41,68.20596408921115,0.06169166685191931,0.5301080234946723,64.2059640892112,2.661881938455062,54.37808910821163,4.9415144313425134,133.4088952046374,9.812452555560101,112.28116030278231,29.747553799493893,0.01263140804801699,37.36358157733949,7.616027777845592
1008,42,68.2059640892297,0.06141209144303477,0.37951506901827414,64.20596408922975,2.661881938455879,54.13323738145457,4.918850460688108,144.45834637030472,8.822097533281898,111.82362813568773,29.669563606245568,0.03529537870385611,37.28559138409341,7.616027777847843
1032,43,68.20596408924824,0.06103997364692436,0.26814213882313165,64.20596408924831,2.6618819384566956,53.807387974651604,4.888675414453091,156.8604592465658,8.058563420665235,111.23863427978242,29.57054002024888,0.06547042494030414,37.18656779809897,7.61602777785009
1056,44,68.20596408926679,0.06060436719662612,0.1870289740303836,64.20596408926686,2.661881938457512,53.42599993732234,4.853342095236946,170.65086680241023,7.455948978967379,110.58335715822746,29.460338888729147,0.10080374415788076,37.076366666581485,7.616027777852339
1080,45,68.20596408928533,0.06013134702524545,0.1288183332147373,64.2059640892854,2.6618819384583268,53.01191213478338,4.814963855422299,185.82821844236653,6.970502379243384,109.90517583198383,29.346976293746668,0.13918198397395565,36.96300407160125,7.6160277778545815
1104,46,68.20596408930388,0.05964341763041362,0.08763265797725608,64.20596408930395,2.6618819384591412,52.584828139087286,4.775366089295398,202.35261167776503,6.572414615837228,109.24112794909976,29.23660367351936,0.17877975010228422,36.85263145137618,7.616027777856822
1128,47,68.20596408932242,0.05915919366672295,0.05889023219850499,64.2059640893225,2.6618819384599557,52.161039355573955,4.736059826931712,220.14598485552207,6.2408785911069105,108.61815214215886,29.133604578436955,0.21808601246739753,36.74963235629602,7.616027777859065
1152,48,68.20596408934097,0.05869333086606089,0.03909781411060007,64.20596408934104,2.6618819384607697,51.75336703780756,4.6982356843889885,239.09434240668526,5.961045182495778,108.05394731909743,29.04078280591432,0.2559101550115444,36.65681058377562,7.616027777861302
1176,49,68.20596408935951,0.05825667060717873,0.02564542451953495,64.20596408935958,2.661881938461582,51.371290963072774,4.662775215374785,259.0515345246421,5.722102840246718,107.55825520040584,28.95960902055615,0.29137062402717273,36.57563679841969,7.616027777863539
1200,50,68.20596408937806,0.05785655208108875,0.01661904537910824,64.20596408937813,2.6618819384623937,51.02122438981408,4.630275938837835,279.8442388593642,5.516035134064531,107.13437257746679,28.89049434639382,0.3238699005655423,36.50652212425959,7.616027777865771
1224,51,68.2059640893966,0.05749724204692136,0.01063917210277923,64.20596408939667,2.6618819384632055,50.70689150847253,4.601085987386771,301.27778516930346,5.336796779872123,106.7807206733417,28.83306382234084,0.35305985201802786,36.449091600208845,7.616027777868004
1248,52,68.20596408941515,0.05718043307890272,0.00672761255051724,64.20596408941523,2.6618819384640164,50.42976442999325,4.575344387885294,323.1424961863236,5.1797548992230675,106.49233363567893,28.786408864578053,0.37880145152092326,36.402436642448286,7.616027777870233
1272,53,68.20596408943369,0.0569057659886401,0.00420139478763048,64.20596408943379,2.6618819384648273,50.189520971720526,4.553023368757795,345.2202610762118,5.041303030612881,106.26216928336949,28.74930482522256,0.4011224706498417,36.36533260309503,7.616027777872464
1296,54,68.20596408945224,0.05667133956455953,0.00259071140993473,64.20596408945232,2.661881938465637,49.98449104496318,4.533969690820397,367.291094543239,4.918590508416025,106.08218632914392,28.72038640036825,0.4201761485886561,36.33641417824294,7.61602777787469
1320,55,68.20596408947078,0.05647417966044886,0.0015770311875201,64.20596408947087,2.6618819384664465,49.812067236493405,4.517942718843852,389.1394595983222,4.809330496143008,105.94416856173041,28.69827932297803,0.4362031205666173,36.31430710085495,7.616027777876916
1344,56,68.20596408948933,0.05631064885938705,0.0009474408453783,64.20596408948943,2.6618819384672556,49.66906322210906,4.504647697623752,410.5601485765405,4.711662487217444,105.84030492868231,28.68169108297333,0.4494981417881323,36.29771886085247,7.6160277778791405
1368,57,68.20596408950787,0.05617678652784371,0.00056162244443663,64.20596408950797,2.6618819384680643,49.5520111600123,4.4937633947867,431.36353225510453,4.624052939470262,105.7635539580404,28.669466234484116,0.46038244462659833,36.285494012365476,7.616027777881363
