cycle,i,LVSNi,tab,TEMFAC,FCO2D,RCLFAi
264,4,9.295089451633793,0.0016,21.92,24.24319628876634,7.903218406239011
264,5,2.688392946736222,0.00235,21.92,24.24319628876634,3.35730685517156
264,6,0.5949105136332976,0.0031,21.92,24.24319628876634,0.9800399186727725
264,7,0.09900844453413629,0.00315,21.92,24.24319628876634,0.16573461319641275
264,8,0.01179743979646944,0.0032,21.92,24.24319628876634,0.02006172050976131
264,9,0.00089850117954655,0.0032,21.92,24.24319628876634,0.00152791451812691
264,10,0.00003266101825165,0.0032,21.92,24.24319628876634,0.00005554054362922
264,11,0.0,0.0032,21.92,24.24319628876634,0.0
264,12,0.0,0.0032,21.92,24.24319628876634,0.0
264,13,0.0,0.0032,21.92,24.24319628876634,0.0
264,14,0.0,0.0032,21.92,24.24319628876634,0.0
264,15,0.0,0.0032,21.92,24.24319628876634,0.0
264,16,0.0,0.0032,21.92,24.24319628876634,0.0
264,17,0.0,0.0032,21.92,24.24319628876634,0.0
264,18,0.0,0.0032,21.92,24.24319628876634,0.0
264,19,0.0,0.0016,21.92,24.24319628876634,0.0
288,0,18.03137056612938,-0.0002,21.92,24.243196288765734,-1.9164132374608074
288,1,42.48314511185347,0.00025,21.92,24.243196288765734,5.644001197991085
288,2,45.287834167039584,0.0007,21.92,24.243196288765734,16.84651291557157
288,3,29.384867594940406,0.00115,21.92,24.243196288765734,17.95775351309719
288,4,13.218737269267216,0.0016,21.92,24.243196288765734,11.2393289206426
288,5,4.434043656714113,0.00235,21.92,24.243196288765734,5.53730256690653
288,6,1.1480597453201589,0.0031,21.92,24.243196288765734,1.8912834008654997
288,7,0.23003789296736313,0.00315,21.92,24.243196288765734,0.3850706007033358
288,8,0.03484071902464909,0.0032,21.92,24.243196288765734,0.0592471569671237
288,9,0.00377826717462942,0.0032,21.92,24.243196288765734,0.00642499909949132
288,10,0.00026143715337022,0.0032,21.92,24.243196288765734,0.00044457773824372
288,11,0.00000862983938453,0.0032,21.92,24.243196288765734,0.00001467516925396
288,12,0.0,0.0032,21.92,24.243196288765734,0.0
288,13,0.0,0.0032,21.92,24.243196288765734,0.0
288,14,0.0,0.0032,21.92,24.243196288765734,0.0
288,15,0.0,0.0032,21.92,24.243196288765734,0.0
288,16,0.0,0.0032,21.92,24.243196288765734,0.0
288,17,0.0,0.0032,21.92,24.243196288765734,0.0
288,18,0.0,0.0032,21.92,24.243196288765734,0.0
288,19,0.0,0.0016,21.92,24.243196288765734,0.0
312,0,13.26704170570309,-0.0002,21.92,24.243196288765674,-1.4100500155275615
312,1,36.02238858030711,0.00025,21.92,24.243196288765674,4.785672147541318
312,2,44.54676676113963,0.0007,21.92,24.243196288765674,16.570845026955894
312,3,33.586820093705796,0.00115,21.92,24.243196288765674,20.52566119560663
312,4,17.490224064473548,0.0016,21.92,24.243196288765674,14.87119209286271
312,5,6.755174441263287,0.00235,21.92,24.243196288765674,8.435966731375874
312,6,2.0162970169502974,0.0031,21.92,24.243196288765674,3.3215946251205524
312,7,0.47260170638710514,0.00315,21.92,24.243196288765674,0.791108893514874
312,8,0.08641658375919102,0.0032,21.92,24.243196288765674,0.1469526762326897
312,9,0.01198572624066082,0.0032,21.92,24.243196288765674,0.02038190438730636
312,10,0.00119066961000442,0.0032,21.92,24.243196288765674,0.0020247512466665
312,11,0.00007542771133454,0.0032,21.92,24.243196288765674,0.00012826593647354
312,12,0.00000228021451227,0.0032,21.92,24.243196288765674,0.00000387753843517
312,13,0.0,0.0032,21.92,24.243196288765674,0.0
312,14,0.0,0.0032,21.92,24.243196288765674,0.0
312,15,0.0,0.0032,21.92,24.243196288765674,0.0
312,16,0.0,0.0032,21.92,24.243196288765674,0.0
312,17,0.0,0.0032,21.92,24.243196288765674,0.0
312,18,0.0,0.0032,21.92,24.243196288765674,0.0
312,19,0.0,0.0016,21.92,24.243196288765674,0.0
336,0,9.76156498894737,-0.0002,21.92,24.24319628876561,-1.037480334317609
336,1,30.00986970676754,0.00025,21.92,24.24319628876561,3.986892687219925
336,2,42.294417676773655,0.0007,21.92,24.24319628876561,15.732999088017955
336,3,36.482705907007855,0.00115,21.92,24.24319628876561,22.295402150515873
336,4,21.743338198871253,0.0016,21.92,24.24319628876561,18.487433774635623
336,5,9.591636958122141,0.00235,21.92,24.24319628876561,11.978185164826266
336,6,3.2684242690675323,0.0031,21.92,24.24319628876561,5.3843160970246435
