cycle,DTFAST,GENRF,TEMFCF,RDVLVF,RDVFRF,TTHF,TTLF,TTABF,FCO2,TSLAF,CSLAF,GPF,MAINTF
159,16,0.00551958746132485,0.9571428571428571,0.01141124773687382,0.01572216354858171,0.0,0.0,0.0,1.014333132166562,1.09,1.5175,0.5830449670442093,0.02823460642819972
160,17,0.00551958746132485,0.9571428571428571,0.01141124773687382,0.01572216354858171,0.0,0.0,0.0,1.014333132166562,1.09,1.5175,0.5830449670442093,0.02823460642819972
161,18,0.00551958746132485,0.9571428571428571,0.01141124773687382,0.01572216354858171,0.0,0.0,0.0,1.014333132166562,1.09,1.5175,0.5830449670442093,0.02823460642819972
162,19,0.00551958746132485,0.9571428571428571,0.01141124773687382,0.01572216354858171,0.0,0.0,0.0,1.014333132166562,1.09,1.5175,0.5830449670442093,0.02823460642819972
163,20,0.00530539451506448,0.9199999999999999,0.01115766445383218,0.01470783041641515,0.0,0.0,0.0,1.014333132166562,1.18,1.5175,0.5830449670442093,0.02639709474495328
164,21,0.00530539451506448,0.9199999999999999,0.01115766445383218,0.01470783041641515,0.0,0.0,0.0,1.014333132166562,1.18,1.5175,0.5830449670442093,0.02639709474495328
165,22,0.00530539451506448,0.9199999999999999,0.011,0.0145,0.0,0.0,0.0,1.0,1.18,0.0,0.5830449670442093,0.02639709474495328
166,23,0.00530539451506448,0.9199999999999999,0.011,0.0145,0.0,0.0,0.0,1.0,1.18,0.0,0.5830449670442093,0.02639709474495328
167,24,0.00530539451506448,0.9199999999999999,0.011,0.0145,0.0,0.0,0.0,1.0,1.18,0.0,0.5830449670442093,0.02639709474495328
168,1,0.00003339791107996,0.86,0.0104,0.0135,0.0,0.0,0.0,1.0,1.27,0.0,0.5830449670442093,0.02483709448412815
169,2,0.00003339791107996,0.86,0.0104,0.0135,0.0,0.0,0.0,1.0,1.27,0.0,0.5830449670442093,0.02483709448412815
170,3,0.00003339791107996,0.86,0.0104,0.0135,0.0,0.0,0.0,1.0,1.27,0.0,0.5830449670442093,0.02483709448412815
171,4,0.00003339791107996,0.86,0.0104,0.0135,0.0,0.0,0.0,1.0,1.27,0.0,0.5830449670442093,0.02483709448412815
172,5,0.00003339791107996,0.86,0.0105487808251858,0.01369312895577003,0.0,0.0,0.0,1.014305848575558,1.27,1.5175,0.5829823170438407,0.02483709448412815
173,6,0.00003339791107996,0.86,0.0105487808251858,0.01369312895577003,0.0,0.0,0.0,1.014305848575558,1.27,1.5175,0.5829823170438407,0.02483709448412815
174,7,0.00003456295448972,0.8899999999999999,0.01085307257975847,0.01420028188005781,0.0,0.0,0.0,1.014305848575558,1.225,1.5175,0.5829823170438407,0.02568701226043753
