cycle,int(cycle / 24),length(leaf_proportion),sum(leaf_proportion),leaf_proportion,,,,,,,,,
192,8,9,0.108735031,0.093924419,0.013817943,0.000953425,3.82619E-05,9.66412E-07,1.5676E-08,1.59234E-10,9.2538E-13,2.35E-15,
193,8,9,0.108735031,0.093924419,0.013817943,0.000953425,3.82619E-05,9.66412E-07,1.5676E-08,1.59234E-10,9.2538E-13,2.35E-15,
194,8,9,0.108735031,0.093924419,0.013817943,0.000953425,3.82619E-05,9.66412E-07,1.5676E-08,1.59234E-10,9.2538E-13,2.35E-15,
195,8,9,0.108735031,0.093924419,0.013817943,0.000953425,3.82619E-05,9.66412E-07,1.5676E-08,1.59234E-10,9.2538E-13,2.35E-15,
196,8,9,0.108735031,0.093924419,0.013817943,0.000953425,3.82619E-05,9.66412E-07,1.5676E-08,1.59234E-10,9.2538E-13,2.35E-15,
197,8,9,0.108735031,0.093924419,0.013817943,0.000953425,3.82619E-05,9.66412E-07,1.5676E-08,1.59234E-10,9.2538E-13,2.35E-15,
198,8,9,0.108735031,0.093924419,0.013817943,0.000953425,3.82619E-05,9.66412E-07,1.5676E-08,1.59234E-10,9.2538E-13,2.35E-15,
199,8,9,0.108735031,0.093924419,0.013817943,0.000953425,3.82619E-05,9.66412E-07,1.5676E-08,1.59234E-10,9.2538E-13,2.35E-15,
200,8,9,0.108735031,0.093924419,0.013817943,0.000953425,3.82619E-05,9.66412E-07,1.5676E-08,1.59234E-10,9.2538E-13,2.35E-15,
201,8,9,0.108735031,0.093924419,0.013817943,0.000953425,3.82619E-05,9.66412E-07,1.5676E-08,1.59234E-10,9.2538E-13,2.35E-15,
202,8,9,0.108735031,0.093924419,0.013817943,0.000953425,3.82619E-05,9.66412E-07,1.5676E-08,1.59234E-10,9.2538E-13,2.35E-15,
203,8,9,0.108735031,0.093924419,0.013817943,0.000953425,3.82619E-05,9.66412E-07,1.5676E-08,1.59234E-10,9.2538E-13,2.35E-15,
204,8,9,0.108735031,0.093924419,0.013817943,0.000953425,3.82619E-05,9.66412E-07,1.5676E-08,1.59234E-10,9.2538E-13,2.35E-15,
205,8,9,0.108735031,0.093924419,0.013817943,0.000953425,3.82619E-05,9.66412E-07,1.5676E-08,1.59234E-10,9.2538E-13,2.35E-15,
206,8,9,0.108735031,0.093924419,0.013817943,0.000953425,3.82619E-05,9.66412E-07,1.5676E-08,1.59234E-10,9.2538E-13,2.35E-15,
207,8,9,0.108735031,0.093924419,0.013817943,0.000953425,3.82619E-05,9.66412E-07,1.5676E-08,1.59234E-10,9.2538E-13,2.35E-15,
208,8,9,0.108735031,0.093924419,0.013817943,0.000953425,3.82619E-05,9.66412E-07,1.5676E-08,1.59234E-10,9.2538E-13,2.35E-15,
209,8,9,0.108735031,0.093924419,0.013817943,0.000953425,3.82619E-05,9.66412E-07,1.5676E-08,1.59234E-10,9.2538E-13,2.35E-15,
210,8,9,0.108735031,0.093924419,0.013817943,0.000953425,3.82619E-05,9.66412E-07,1.5676E-08,1.59234E-10,9.2538E-13,2.35E-15,
211,8,9,0.108735031,0.093924419,0.013817943,0.000953425,3.82619E-05,9.66412E-07,1.5676E-08,1.59234E-10,9.2538E-13,2.35E-15,
212,8,9,0.108735031,0.093924419,0.013817943,0.000953425,3.82619E-05,9.66412E-07,1.5676E-08,1.59234E-10,9.2538E-13,2.35E-15,
213,8,9,0.108735031,0.093924419,0.013817943,0.000953425,3.82619E-05,9.66412E-07,1.5676E-08,1.59234E-10,9.2538E-13,2.35E-15,
214,8,9,0.108735031,0.093924419,0.013817943,0.000953425,3.82619E-05,9.66412E-07,1.5676E-08,1.59234E-10,9.2538E-13,2.35E-15,
215,8,9,0.108735031,0.093924419,0.013817943,0.000953425,3.82619E-05,9.66412E-07,1.5676E-08,1.59234E-10,9.2538E-13,2.35E-15,
216,9,10,0.111052698,0.094363597,0.015420073,0.001210715,5.65651E-05,1.71232E-06,3.46908E-08,4.6957E-10,4.09156E-12,2.082E-14,5E-17
217,9,10,0.111052698,0.094363597,0.015420073,0.001210715,5.65651E-05,1.71232E-06,3.46908E-08,4.6957E-10,4.09156E-12,2.082E-14,5E-17
218,9,10,0.111052698,0.094363597,0.015420073,0.001210715,5.65651E-05,1.71232E-06,3.46908E-08,4.6957E-10,4.09156E-12,2.082E-14,5E-17
219,9,10,0.111052698,0.094363597,0.015420073,0.001210715,5.65651E-05,1.71232E-06,3.46908E-08,4.6957E-10,4.09156E-12,2.082E-14,5E-17
220,9,10,0.111052698,0.094363597,0.015420073,0.001210715,5.65651E-05,1.71232E-06,3.46908E-08,4.6957E-10,4.09156E-12,2.082E-14,5E-17
221,9,10,0.111052698,0.094363597,0.015420073,0.001210715,5.65651E-05,1.71232E-06,3.46908E-08,4.6957E-10,4.09156E-12,2.082E-14,5E-17
222,9,10,0.111052698,0.094363597,0.015420073,0.001210715,5.65651E-05,1.71232E-06,3.46908E-08,4.6957E-10,4.09156E-12,2.082E-14,5E-17
223,9,10,0.111052698,0.094363597,0.015420073,0.001210715,5.65651E-05,1.71232E-06,3.46908E-08,4.6957E-10,4.09156E-12,2.082E-14,5E-17
224,9,10,0.111052698,0.094363597,0.015420073,0.001210715,5.65651E-05,1.71232E-06,3.46908E-08,4.6957E-10,4.09156E-12,2.082E-14,5E-17
